E/Trace   ( 1027): error opening trace file: No such file or directory (2)
W/DroidBox( 1027): DroidBox: { "DexClassLoader": { "path": "/data/app/com.convertoman.proin-1.apk" } }
W/RecognitionManagerService(  233): no available voice recognition services found
W/System.err( 1027): org.json.JSONException: No value for 310
W/System.err( 1027): 	at org.json.JSONObject.get(JSONObject.java:354)
W/System.err( 1027): 	at org.json.JSONObject.getJSONObject(JSONObject.java:569)
W/System.err( 1027): 	at com.uniplugin.sender.Sender.parsalldata(Sender.java:251)
W/System.err( 1027): 	at com.uniplugin.sender.Sender.SenderStart(Sender.java:91)
W/System.err( 1027): 	at com.convertoman.proin.ProinActivity.setstartdisplay(ProinActivity.java:75)
W/System.err( 1027): 	at com.convertoman.proin.ProinActivity.onCreate(ProinActivity.java:69)
W/System.err( 1027): 	at android.app.Activity.performCreate(Activity.java:5017)
W/System.err( 1027): 	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1079)
W/System.err( 1027): 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2023)
W/System.err( 1027): 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2084)
W/System.err( 1027): 	at android.app.ActivityThread.access$600(ActivityThread.java:130)
W/System.err( 1027): 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1195)
W/System.err( 1027): 	at android.os.Handler.dispatchMessage(Handler.java:99)
W/System.err( 1027): 	at android.os.Looper.loop(Looper.java:137)
W/System.err( 1027): 	at android.app.ActivityThread.main(ActivityThread.java:4745)
W/System.err( 1027): 	at java.lang.reflect.Method.invokeNative(Native Method)
W/System.err( 1027): 	at java.lang.reflect.Method.invoke(Method.java:511)
W/System.err( 1027): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:786)
W/System.err( 1027): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:553)
W/System.err( 1027): 	at dalvik.system.NativeStart.main(Native Method)
W/InputMethodManagerService(  233): Starting input on non-focused client com.android.internal.view.IInputMethodClient$Stub$Proxy@b3f12f60 (uid=10019 pid=626)
D/InputEventConsistencyVerifier(  626): KeyEvent: ACTION_UP but key was not down.
D/InputEventConsistencyVerifier(  626):   in com.android.internal.policy.impl.PhoneWindow$DecorView@b40f8888
D/InputEventConsistencyVerifier(  626):   0: sent at 103426000000, KeyEvent { action=ACTION_UP, keyCode=KEYCODE_DPAD_RIGHT, scanCode=0, metaState=0, flags=0x28, repeatCount=0, eventTime=103426, downTime=102107, deviceId=-1, source=0x101 }
W/System.err( 1027): org.json.JSONException: No value for 310
W/System.err( 1027): 	at org.json.JSONObject.get(JSONObject.java:354)
W/System.err( 1027): 	at org.json.JSONObject.getJSONObject(JSONObject.java:569)
W/System.err( 1027): 	at com.uniplugin.sender.Sender.parsalldata(Sender.java:251)
W/System.err( 1027): 	at com.uniplugin.sender.Sender.SenderStart(Sender.java:91)
W/System.err( 1027): 	at com.uniplugin.sender.AReceiver.run(AReceiver.java:71)
W/System.err( 1027): 	at com.uniplugin.sender.AReceiver.onReceive(AReceiver.java:63)
W/System.err( 1027): 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:2229)
W/System.err( 1027): 	at android.app.ActivityThread.access$1500(ActivityThread.java:130)
W/System.err( 1027): 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1271)
W/System.err( 1027): 	at android.os.Handler.dispatchMessage(Handler.java:99)
W/System.err( 1027): 	at android.os.Looper.loop(Looper.java:137)
W/System.err( 1027): 	at android.app.ActivityThread.main(ActivityThread.java:4745)
W/System.err( 1027): 	at java.lang.reflect.Method.invokeNative(Native Method)
W/System.err( 1027): 	at java.lang.reflect.Method.invoke(Method.java:511)
W/System.err( 1027): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:786)
W/System.err( 1027): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:553)
W/System.err( 1027): 	at dalvik.system.NativeStart.main(Native Method)
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
E/WVMExtractor(   63): Failed to open libwvm.so
W/dalvikvm(  558): DroidBox: { "FdAccess": { "path": "2f70726f632f6d656d696e666f", "id": "2078552380" } }
