E/Trace   (  963): error opening trace file: No such file or directory (2)
I/ARMAssembler(   59): generated scanline__00000077:03010104_00008002_00000000 [ 89 ipp] (110 ins) at [0xb5dcb710:0xb5dcb8c8] in 0 ns
W/DroidBox(  963): DroidBox: { "DexClassLoader": { "path": "/data/app/org.netraffic-1.apk" } }
W/dalvikvm(  861): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e67616c6c65727933642f7368617265645f70726566732f636f6d2e616e64726f69642e67616c6c65727933645f707265666572656e6365732e786d6c", "id": "1359211440" } }
W/DroidBox(  861): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d227061636b616765732d76657273696f6e222076616c75653d2232", "id": "1359211440" } }
I/Choreographer(  623): Skipped 203 frames!  The application may be doing too much work on its main thread.
D/InputEventConsistencyVerifier(  623): KeyEvent: ACTION_UP but key was not down.
D/InputEventConsistencyVerifier(  623):   in com.android.internal.policy.impl.PhoneWindow$DecorView@b4153558
D/InputEventConsistencyVerifier(  623):   0: sent at 102881000000, KeyEvent { action=ACTION_UP, keyCode=KEYCODE_DPAD_RIGHT, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=102881, downTime=102881, deviceId=-1, source=0x101 }
W/InputMethodManagerService(  227): Starting input on non-focused client com.android.internal.view.IInputMethodClient$Stub$Proxy@b3f063d8 (uid=10019 pid=623)
W/Resources(  963): Converting to string: TypedValue{t=0x10/d=0x1 a=-1}
W/dalvikvm(  861): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e67616c6c65727933642f7368617265645f70726566732f636f6d2e616e64726f69642e67616c6c65727933645f707265666572656e6365732e786d6c", "id": "2119126443" } }
W/DroidBox(  861): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d227061636b616765732d76657273696f6e222076616c75653d2233", "id": "2119126443" } }
W/Resources(  963): Converting to string: TypedValue{t=0x10/d=0x0 a=-1}
W/Resources(  963): Converting to string: TypedValue{t=0x10/d=0x0 a=-1}
W/Resources(  963): Converting to string: TypedValue{t=0x10/d=0x0 a=-1}
W/Resources(  963): Converting to string: TypedValue{t=0x10/d=0x0 a=-1}
W/dalvikvm(  963): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f6f72672e6e65747261666669632f7368617265645f70726566732f6f72672e6e65747261666669635f707265666572656e6365732e786d6c", "id": "1820535656" } }
W/DroidBox(  963): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c737472696e67206e616d653d22776966695f7468726573686f6c64223e303c2f73747269", "id": "1820535656" } }
W/dalvikvm(  963): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f6f72672e6e65747261666669632f7368617265645f70726566732f5f6861735f7365745f64656661756c745f76616c7565732e786d6c", "id": "1926449534" } }
W/DroidBox(  963): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c626f6f6c65616e206e616d653d225f6861735f7365745f64656661756c745f76616c7565", "id": "1926449534" } }
W/dalvikvm(  963): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f6f72672e6e65747261666669632f7368617265645f70726566732f6f72672e6e65747261666669635f707265666572656e6365732e786d6c", "id": "1427016102" } }
W/DroidBox(  963): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c737472696e67206e616d653d22776966695f7468726573686f6c64223e303c2f73747269", "id": "1427016102" } }
D/AlertReceiver(  606): onReceive: a=android.intent.action.PROVIDER_CHANGED Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://com.android.calendar flg=0x10 cmp=com.android.calendar/.alerts.AlertReceiver }
W/DroidBox(  606): DroidBox: { "ServiceStart": { "name": "com.android.calendar.alerts.AlertService" } }
W/DroidBox(  606): DroidBox: { "ServiceStart": { "name": "com.android.calendar.alerts.AlertService" } }
E/WVMExtractor(   62): Failed to open libwvm.so
D/AlertService(  606): 0 Action = android.intent.action.PROVIDER_CHANGED
D/AlertService(  606): Beginning updateAlertNotification
W/DroidBox(  775): DroidBox: { "ServiceStart": { "name": "com.android.providers.downloads.DownloadService" } }
W/DroidBox(  775): DroidBox: { "ServiceStart": { "name": "com.android.providers.downloads.DownloadService" } }
W/DroidBox(  675): DroidBox: { "ServiceStart": { "name": "com.android.providers.calendar.CalendarProviderIntentService" } }
W/DroidBox(  675): DroidBox: { "ServiceStart": { "name": "com.android.providers.calendar.CalendarProviderIntentService" } }
