I/ActivityThread(  924): Pub com.android.mms.SuggestionsProvider: com.android.mms.SuggestionsProvider
D/InputEventConsistencyVerifier(  628): KeyEvent: ACTION_UP but key was not down.
D/InputEventConsistencyVerifier(  628):   in com.android.internal.policy.impl.PhoneWindow$DecorView@b412b818
D/InputEventConsistencyVerifier(  628):   0: sent at 97011000000, KeyEvent { action=ACTION_UP, keyCode=KEYCODE_DPAD_RIGHT, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=97011, downTime=97011, deviceId=-1, source=0x101 }
W/dalvikvm(  894): DroidBox: { "FdAccess": { "path": "2f6465762f696e7075742f6576656e7430", "id": "740671361" } }
W/DroidBox(  894): DroidBox: { "FileRW": { "operation": "write", "data": "efbfbd060000efbfbdefbfbd0c000500000000000000", "id": "740671361" } }
I/ActivityManager(  228): START {act=android.search.action.GLOBAL_SEARCH flg=0x10000000 cmp=com.android.quicksearchbox/.SearchActivity bnds=[5,43][475,103] (has extras) u=0} from pid 628
W/dalvikvm(  924): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e6d6d732f7368617265645f70726566732f636f6d2e616e64726f69642e6d6d735f707265666572656e6365732e786d6c", "id": "1794393074" } }
W/DroidBox(  924): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c626f6f6c65616e206e616d653d22707265665f6b65795f6d6d735f6175746f5f72657472", "id": "1794393074" } }
W/dalvikvm(  924): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e6d6d732f7368617265645f70726566732f5f6861735f7365745f64656661756c745f76616c7565732e786d6c", "id": "780353062" } }
W/DroidBox(  924): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c626f6f6c65616e206e616d653d225f6861735f7365745f64656661756c745f76616c7565", "id": "780353062" } }
D/CountryDetector(  228): The first listener is added
E/Trace   (  936): error opening trace file: No such file or directory (2)
I/dalvikvm-heap(  628): Grow heap (frag case) to 15.259MB for 1463056-byte allocation
W/DroidBox(  936): DroidBox: { "DexClassLoader": { "path": "/data/app/com.extend.battery-1.apk" } }
I/ContactDirectoryManager(  560): deleted 0 stale rows which don't have any relevant directory
D/InputEventConsistencyVerifier(  628): KeyEvent: ACTION_UP but key was not down.
D/InputEventConsistencyVerifier(  628):   in com.android.launcher2.Cling@b40d4490
D/InputEventConsistencyVerifier(  628):   0: sent at 97373000000, KeyEvent { action=ACTION_UP, keyCode=KEYCODE_DPAD_DOWN, scanCode=0, metaState=0, flags=0x8, repeatCount=0, eventTime=97373, downTime=97373, deviceId=-1, source=0x101 }
W/InputMethodManagerService(  228): Starting input on non-focused client com.android.internal.view.IInputMethodClient$Stub$Proxy@b3ff0b58 (uid=10019 pid=628)
V/MmsConfig(  924): mnc/mcc: 310260
I/ContactDirectoryManager(  560): Discovered 0 contact directories in 8204ms
V/MmsConfig(  924): tag: bool value: enabledMMS - true
V/MmsConfig(  924): tag: int value: maxMessageSize - 307200
V/MmsConfig(  924): tag: int value: maxImageHeight - 480
V/MmsConfig(  924): tag: int value: maxImageWidth - 640
V/MmsConfig(  924): tag: int value: defaultSMSMessagesPerThread - 500
V/MmsConfig(  924): tag: int value: defaultMMSMessagesPerThread - 50
V/MmsConfig(  924): tag: int value: minMessageCountPerThread - 10
V/MmsConfig(  924): tag: int value: maxMessageCountPerThread - 5000
V/MmsConfig(  924): tag: string value: uaProfUrl - http://www.google.com/oha/rdf/ua-profile-kila.xml
V/MmsConfig(  924): tag: int value: recipientLimit - -1
V/MmsConfig(  924): tag: bool value: enableMultipartSMS - true
V/MmsConfig(  924): tag: int value: smsToMmsTextThreshold - -1
V/MmsConfig(  924): tag: bool value: enableSlideDuration - true
V/MmsConfig(  924): tag: int value: maxMessageTextSize - -1
I/Choreographer(  628): Skipped 31 frames!  The application may be doing too much work on its main thread.
I/ContactsDatabaseHelper(  560): Switching to locale en_US
I/Choreographer(  628): Skipped 42 frames!  The application may be doing too much work on its main thread.
I/dalvikvm-heap(  936): Grow heap (frag case) to 9.951MB for 1536016-byte allocation
I/BugSenseHandler(  936): Registering default exceptions handler
D/BugSenseHandler(  936): Looking for exceptions in: /data/data/com.extend.battery/files
D/BugSenseHandler(  936): Found 0 stacktrace(s)
I/Choreographer(  628): Skipped 104 frames!  The application may be doing too much work on its main thread.
D/EmailProvider(  844): fromDatabase accounts: 0
D/EmailProvider(  844): ending toDatabase transaction; copyCount = 0
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3932342f636d646c696e65", "id": "1923052437" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e6d6d730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032356564623937376165656334386361313931312e61706b", "id": "1923052437" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3933362f636d646c696e65", "id": "740252262" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e657874656e642e626174746572790000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032356564623937376165656334386361313931312e61706b", "id": "740252262" } }
D/EmailProvider(  844): ending fromDatabase transaction; copyCount = 0
W/DroidBox(  924): DroidBox: { "ServiceStart": { "name": "com.android.mms.transaction.SmsReceiverService" } }
W/DroidBox(  924): DroidBox: { "ServiceStart": { "name": "com.android.mms.transaction.SmsReceiverService" } }
W/dalvikvm(  936): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e657874656e642e626174746572792f7368617265645f70726566732f73717565657a655f70726566732e786d6c", "id": "1078507516" } }
W/DroidBox(  936): DroidBox: { "DataLeak": { "sink": "File", "operation": "write", "tag": "0x400", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c737472696e67206e616d653d22637573746f6d5f746167223e36383c2f737472696e673e", "id": "1078507516" } }
I/ActivityManager(  228): Start proc com.android.voicedialer for broadcast com.android.voicedialer/.VoiceDialerReceiver: pid=966 uid=10040 gids={3002, 1028}
W/DroidBox(  936): DroidBox: { "CryptoUsage": { "operation": "keyalgo", "key": "102, 102, 50, 50, 55, 102, 100, 57, 57, 52, 54, 55, 102, 49, 54, 54, 102, 53, 51, 56, 53, 48, 48, 99, 54, 102, 50, 100, 56, 54, 55, 55", "algorithm": "AES" } }
W/DroidBox(  936): DroidBox: { "CryptoUsage": { "operation": "keyalgo", "key": "102, 102, 50, 50, 55, 102, 100, 57, 57, 52, 54, 55, 102, 49, 54, 54, 102, 53, 51, 56, 53, 48, 48, 99, 54, 102, 50, 100, 56, 54, 55, 55", "algorithm": "AES" } }
E/Trace   (  966): error opening trace file: No such file or directory (2)
W/DroidBox(  966): DroidBox: { "DexClassLoader": { "path": "/system/app/VoiceDialer.apk" } }
I/InputDispatcher(  228): Application is not responding: AppWindowToken{b3ec1060 token=Token{b4239120 ActivityRecord{b3eb7be8 com.extend.battery/.Splash}}}.  It has been 5203.8ms since event, 5007.3ms since wait started.  Reason: Waiting because no window has focus but there is a focused application that may eventually add a window when it finishes starting up.
I/WindowManager(  228): Input event dispatching timed out sending to application AppWindowToken{b3ec1060 token=Token{b4239120 ActivityRecord{b3eb7be8 com.extend.battery/.Splash}}}
I/Process (  228): Sending signal. PID: 936 SIG: 3
D/MmsSmsDatabaseHelper(  487): [MmsSmsDb] tableName: threads hasAutoIncrement: CREATE TABLE threads (_id INTEGER PRIMARY KEY AUTOINCREMENT,date INTEGER DEFAULT 0,message_count INTEGER DEFAULT 0,recipient_ids TEXT,snippet TEXT,snippet_cs INTEGER DEFAULT 0,read INTEGER DEFAULT 1,type INTEGER DEFAULT 0,error INTEGER DEFAULT 0,has_attachment INTEGER DEFAULT 0) result: true
I/Process (  228): Sending signal. PID: 228 SIG: 3
D/MmsSmsDatabaseHelper(  487): [MmsSmsDb] tableName: canonical_addresses hasAutoIncrement: CREATE TABLE canonical_addresses (_id INTEGER PRIMARY KEY AUTOINCREMENT,address TEXT) result: true
D/MmsSmsDatabaseHelper(  487): [getWritableDatabase] hasAutoIncrementThreads: true hasAutoIncrementAddresses: true
I/Process (  228): Sending signal. PID: 422 SIG: 3
I/Process (  228): Sending signal. PID: 487 SIG: 3
W/dalvikvm(  882): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e67616c6c65727933642f7368617265645f70726566732f636f6d2e616e64726f69642e67616c6c65727933645f707265666572656e6365732e786d6c", "id": "1395996378" } }
W/DroidBox(  882): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d227061636b616765732d76657273696f6e222076616c75653d2232", "id": "1395996378" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f312f636d646c696e65", "id": "238806904" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "238806904" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f322f636d646c696e65", "id": "217011914" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "217011914" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f332f636d646c696e65", "id": "1986203579" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1986203579" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f342f636d646c696e65", "id": "1402347103" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1402347103" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f352f636d646c696e65", "id": "1887928322" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1887928322" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f362f636d646c696e65", "id": "1664480982" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1664480982" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f372f636d646c696e65", "id": "681137844" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "681137844" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f382f636d646c696e65", "id": "680057624" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "680057624" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f392f636d646c696e65", "id": "613252899" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "613252899" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f31302f636d646c696e65", "id": "319184967" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "319184967" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f31312f636d646c696e65", "id": "1278516040" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1278516040" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f31322f636d646c696e65", "id": "1266284083" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1266284083" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f31332f636d646c696e65", "id": "1275316834" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1275316834" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f31342f636d646c696e65", "id": "660400926" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "660400926" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f32352f636d646c696e65", "id": "1221895207" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1221895207" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f32362f636d646c696e65", "id": "1309141405" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1309141405" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f32372f636d646c696e65", "id": "1736290631" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1736290631" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f32382f636d646c696e65", "id": "1850025415" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1850025415" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f32392f636d646c696e65", "id": "2114002833" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "2114002833" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f33302f636d646c696e65", "id": "671793265" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "671793265" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f33312f636d646c696e65", "id": "874778229" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "874778229" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f33332f636d646c696e65", "id": "435770203" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "435770203" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f33342f636d646c696e65", "id": "320169368" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "320169368" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f33382f636d646c696e65", "id": "1989920881" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1989920881" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f34302f636d646c696e65", "id": "915866342" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "915866342" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f34312f636d646c696e65", "id": "238546429" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "238546429" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f34342f636d646c696e65", "id": "128509712" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "128509712" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f34362f636d646c696e65", "id": "578356644" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "578356644" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f34372f636d646c696e65", "id": "902067591" } }
